X,Y,OBJECTID,Time_Limit_Hr,Time_Limit_Min,Enforced,Block_Nbr,St_Pre_Dir,St_Name,St_Name_Suf,Side_Of_St,Symbol_Rotation,Status,SpaceLength_Ft,Restriction,CWasset_ID,Collect_Route,DateRemoved,SpaceID,SpaceName,created_user,created_date,last_edited_user,last_edited_date
829148.272377893,489530.013241142,1,3,180,24 Hours,2000,,Winnebago,St,E,29,In service,19,,DV-7172,Schenks,,dsvt-1,7172,,,,
822426.789757892,482552.173850387,2,3,180,24 Hours,100,E,Wilson,St,N,45,In service,18,,DV-6074,Wilson Butler Area,,dsvt-2,6074,,,,
821799.974410474,482209.948156893,3,3,180,24 Hours,200,,Martin Luther King Jr,Blvd,E,135,In service,27,,DV-1319,MMB Area,,dsvt-3,1319,,,,
821822.557698637,482125.781986639,4,3,180,24 Hours,200,,Martin Luther King Jr,Blvd,W,135,In service,25.42,,DV-1328,MMB Area,,dsvt-4,11328,,,,
821606.111609221,482410.519606143,5,3,180,24 Hours,100,,Martin Luther King Jr,Blvd,E,135,In service,18.5,,DV-1306,MMB Area,,dsvt-5,1306,,,,
821594.063076884,482358.675549731,6,3,180,24 Hours,100,,Martin Luther King Jr,Blvd,W,135,In service,25,,DV-1314,MMB Area,,dsvt-6,1314,,,,
821093.152661383,481688.7818764,7,3,180,24 Hours,200,W,Doty,St,S,45,In service,18,,DV-5900,CCB Area,,dsvt-7,15900,,,,
821167.910057798,481874.747711807,8,3,180,24 Hours,100,S,Hamilton,St,E,0,In service,19,,DV-1459,CCB Area,,dsvt-8,1459,,,,
820972.181118548,482027.137170807,9,3,180,24 Hours,100,W,Main,St,S,343,In service,11,,DV-1515,CCB Area,,dsvt-9,1515,,,,
819566.968705893,481986.154969305,10,3,180,24 Hours,100,N,Broom,St,E,135,In service,22,,DV-1938,State St Area,,dsvt-10,1938,,,,
819897.303018972,482554.584934816,11,3,180,24 Hours,100,N,Henry,St,W,135,In service,21.4,,DV-1808,State St Area,,dsvt-11,1808,,,,
820171.471105799,482450.961126313,12,3,180,24 Hours,200,W,Mifflin,St,S,45,In service,25,,DV-1633,Meriter Area,,dsvt-12,1633,,,,
820379.691817969,482530.032162398,13,3,180,24 Hours,10,N,Fairchild,St,W,135,In service,25,,DV-2458,State St Area,,dsvt-13,2458,,,,
820391.591072381,482697.800199553,14,3,180,24 Hours,100,W,Mifflin,St,N,45,In service,18,,DV-1613,State St Area,,dsvt-14,1613,,,,
819079.487725466,482821.593587145,15,3,180,24 Hours,300,W,Gorham,St,N,45,In service,21,,DV-2158,University Area,,dsvt-15,2158,,,TNKGJ,2023/03/20 18:17:58+00
819474.453799054,482994.276968807,16,3,180,24 Hours,300,N,Henry,St,W,75,In service,10,,DV-1843,Campus Area,,dsvt-16,1843,,,,
818800.000095472,482970.916451231,17,3,180,24 Hours,200,W,Gilman,St,S,45,In service,26,,DV-4037,Campus Area,,dsvt-17,4037,,,,
818526.974394798,482712.485537648,18,3,180,24 Hours,400,W,Gilman,St,S,45,In service,19,,DV-3982,University Area,,dsvt-18,3982,,,,
818015.087295219,481355.822568566,19,3,180,24 Hours,100,N,Frances,St,W,0,In service,42,,DV-3901,University Area,,dsvt-19,3901,,,,
820358.434642643,483035.363828897,20,3,180,24 Hours,100,N,Carroll,St,W,46,In service,16,,DV-508,State St Area,,dsvt-20,508,,,,
820824.271965548,483245.385718554,21,3,180,8a-6p M-F,100,,Wisconsin,Ave,E,135,In service,18,,DV-800,MATC Area,,dsvt-21,824,,,,
820749.681563556,483014.514461145,22,3,180,24 Hours,10,W,Mifflin,St,N,45,In service,18,,DV-1610,Capitol Square Area,,dsvt-22,11611,,,,
821345.484833881,483614.567722976,23,3,180,24 Hours,100,E,Mifflin,St,N,165,In service,15,,DV-1012,MATC Area,,dsvt-23,1012,,,,
821560.752776057,483232.281414062,24,3,180,24 Hours,100,E,Washington,Ave,N,45,In service,19,,DV-1053,GEF Area,,dsvt-24,1053,,,,
821619.874705061,483240.889992639,25,3,180,24 Hours,100,E,Washington,Ave,S,45,In service,25,,DV-1060,GEF Area,,dsvt-25,1060,,,,
